item_number,english,japanese,reverse_scored
1,I feel that I'm a person of worth at least on an equal plane with others.,私は、自分自身にだいたい満足している。,FALSE
2,I feel that I have a number of good qualities.,私にはけっこう長所があると感じている。,FALSE
3,All in all I am inclined to feel that I am a failure.,時々、自分はまったくダメだと思うことがある。,TRUE
4,I am able to do things as well as most other people.,私は、他の大半の人と同じくらいに物事がこなせる。,FALSE
5,I feel I do not have much to be proud of.,私には誇れるものが大してないと感じる。,TRUE
6,I take a positive attitude toward myself.,私は、自分のことを前向きに考えている。,FALSE
7,On the whole I am satisfied with myself.,自分は少なくとも他の人と同じくらい価値のある人間だと感じている。,FALSE
8,I wish I could have more respect for myself.,自分のことをもう少し尊敬できたらいいと思う。,TRUE
9,I certainly feel useless at times.,時々、自分は役に立たないと強く感じることがある。,TRUE
10,At times I think I am no good at all.,よく、私は落ちこぼれだと思ってしまう。,TRUE
